CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
		 Internet users (per 100 people)									0.11	2.42	4.63	26.84	0.46		24.27	16.04	4.9	23		54.28		22	21.46	0.2	49.8		53.86	9.8	1.18	60.99	3.16	4.44	15.47	3.3	19.07		29.72	18.13	0.4	0.35	0.3	0.98	65.96	5.32		0.22	0.36	28.18	7.3	9.12	1.33	1.08		20.79	0.85	30.91	8.41	33.83	35.5	0	0.2	80.93	0.78	30.32	8.87	4.83	11.92	3.2	0.84		53.2	0.16	7.41	72.39	39.15	2.98	3.31	3.89	64.73	1.72		21.42	19.57	5.1	0.51	1.81		5.4		5.6	56.4	27.74	83.88	1.98	2.6	7.49	0.9	36.99	22.77	33.24	10	62.39	11.66	2.65	3.02	3.5	22.93	5.09	0.36	38.58	9	2.18	0.03	3.53	64.01	31.23	65.88	31.48	0.53	0.35	42.25	6.59	0.43	34.62	3.6	0.48	13.69	14.1	11.02	52.49		25.35		11.61	0.68	0.02	3.8		0.45	68.52		61.85	2.32	0.19	1.29		77.69	6.76	6.16	26.97	4.4	11.14	1.51	3.45	14.1	5.24	32.53	31.78	20.7	72.7	10.63	15	12.86	0.43	24.74	21.4	7.37	3.08	50.57	13.32	10.23	4.39	23.5	24.27	0.2	62	52.89	40.81	0.65	1.05	8.43	44.01	1.45	0.79	6.08	3.23	83.89	67.8	4.32	0.08	10.68	24.44		1.5		3.95	27.02	8.53	14.58	0.75			0.72	3.49	30.13	65.61	0.88	64.76	17.06	2.59	4.75	8.4	7.64	0.88	2.01	6.56				56.1			22.13				27.38																			
		 Fixed broadband subscriptions (per 100 people)									0		0.11	7.95			2.03	1.42	0.03	7.05	5.01	10.62		3.97	1.82		10.89	0.01	15.52	1.07	0			0.09	0.17		1.72		1.74	0.09	0		0.01		16.97	0.06				2.96	1.9	0.3	0			0.66	0	0.6		1.68	2.31			18.85		4.63	0.4	0.09	0.11	0.48			10.41	0		15.3	10.76	0.05	0	0.04	8.35	0		0.47	0.59								22.01	4.06	19.02	0.02	0.04			3.72	15.15	8.11	1.01	15.43	0.2	0.01			0.91	0.04	0	2.18	2.08	0			13.76	3.87	8.08	9.86		0	1	0.25		9.11			0.21	0.97	0.02	22.81	0.04			0.22						19.76		4.7	0.09	0			14.64	0.03		0.37	0	0.51		0.05	0.83	0.11	2.29	8	1.52	25.47	0.06	0.47	0.47	0.01	9.09	2.32	1.22	0.02	3.67		0.29	0.07		0.41		12.46	1.46	5.77	0.04		0.13	7.96	0.1	0	0.09		15.7	16.71	0		0.25		0			0.33	0.33	0.03	0.86			0.52			1.53	10.21		12.64	0.81	0.02	0.01	0.8	0.06		0	0.07				5.84			2.29				1.37																			
	2003																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0.87	33.96	4.38	68.6	2.27		56.98	20.65	3.77	72.1	71.9	89.34	12.63	38.73	57.39	0.98	51.69	11.43	82.87	23.38	3.08	62.83	0.37	14.18	27.59	24.28	25.51		50.15	44.84	1.88	0.88	3.85	6.25	42.07	11.42	45.71	1.04	0.7	45.44	20.72	14.77	0.35	9.81		18.66	7.57	57.52	0.31	55.28	95.15	0	2.44	88.56	3.05	33.95	23.06	18.06	8.35	19.07	7.3	0	78.41	0.07	13.45	91.06	68.9	22.8	11.07	15.58	77.34	3.92		81	41.31	16.87	1.21	0.09	18.31	3.56		5.72	106.41	78.33	96.46	3.08	8.48	5.03	0.31	87.27	104.25	98.1	59.55	68.49	26.59	9.02	4.69	0.6	67.1	2.76	2	53.31	21.56	6.63	1.51	2.34	73.23	62.22	120.58	80.77	1.64	1.1	44.69	23.11	2.2	70.42	1.15	11.83	38.4	27.85	5.49	45.74	12.92			24.88	2.19	0.13	11.29		0.33	81.82		64.64	8.78	0.67	2.38		89.05	24.86	1.58	19.92	7.71	21.37	0.3	31.16	10.82	27.25	45.49	95.82	57.03	72.1	12.21	31.71	24.94	1.43	46.14	61.2	58.06	5.91	58.89	3.27	31.67	7.33		58.45	2.4	84.07	68.28	87.33	0.24	2.49	35.97	88.59	7.14	1.44	34.61	7.81	98.43	84.91	6.85	0.73	33.52	37.29	2.15	4.63		11.23	26.2	19.47	42.29	0.2		0	2.89	13.59	88.22	90.88	3.53	54.85	14.96	1.26	3.92	27.19	3.29	3.54	2.21	2.87				52.44			45.15				45.54																			
		 Fixed telephone subscriptions (per 100 people)									0.16	7.87	6.3	46.5	0.55		46.97	22.66	18.57	38.54	52.42	47.62	11.25	41.78	24.06	0.53	49.47	31.39	46.94	12.88	0.87	84.82	3.84	6.77	24.08	7.17	21.57		23.17	36.09	0.53	0.33	0.24	0.57	65.25	15.36	82.55	0.25	0.13	20.33	20.17	18.74	2.32	0.21		27.79	1.41	42.42	6.44	42.49	35.54	4.18	0.02	67.14	1.35	32.07	10.02	11.53	12.58	12.48	1.69	0.85	34.42	0.56	12.48	49.25	56.03	2.92	3.11	14.61	64.73	1.43		57.11	31.89	7.83	0.28	0.78	12.25	1.56		5.05	55.11	35.52	66.41	3.84	3.69	22.38	4.56	48.75	45.88	45.96	17.33	47.6	12.49	15.11	0.97	5.04	23.01	7.91	1.24	28.58	18.97	1.85		13.83	58.29	24.4	54.81	38.74	0.35	0.69	18.37	10.45	0.54	50.58	8.56	1.29	28.92	15.11	10.43	101.61	5.6			4.12	0.39	0.73	6.43		1.52	48.63		44.72	3.85	0.19	0.67		49.04	9.89	2.66	37.41	7.11	11.77	1.08	4.94	6.79	4.04	32.14	41.01	27.95	53.93	20.3	19.51	24.92	0.28	49.29	30.29	19.56	7.48	72.09	4.73	15.33	2.14		25.16	0.54	44.41	24.03	40.79	1.4	1.24	10.48	42.27	4.81	2.56	16.39	4.25	64.64	73.03	13.94	3.76	10.28	25.23	0.21	1.16		12.04	24.84	11.82	28.69	8.09		7.3	0.23	23.24	33.71	57.88	0.4	62.46	28.21	6.72	3.29	11.46	5.28	3.64	0.81	2.37				44.5			32.04				64.37																			
		 Internet users (per 100 people)									0.09	0.97	2.2	13.55	0.37		17.23	11.91	4.58	20.8		42.7		20	21.55	0.16	39.69		49.97		0.95	56.52	2.44	3.51	3.97	3.35	13.21		19.6	12.04	0.37	0.2	0.26	0.59	64.2	4.32		0.15	0.32	25.47	6.2	7.39	0.85	0.46		20.33	0.76	22.75	5.24	30.09	34.3	0	0.13	76.26	0.63	23.62	7.9	4.46	4.04	2.5	0.52		45.32	0.11	6.73	69.22	36.14	2.66	2.44	2.56	55.9	1.19		17.8	18.65	4.55	0.45	1.35		1.65		4.8	52.2	21.63	83.14	1.69	2.39	6.93	0.6	34.31	19.59	29.04	7.8	48.44	8.47	2	2.94	3	22.4	3.91	0.33	26.98	8	1.53	0.03	2.81	58.81	25.91	54.55	25.74	0.42	0.28	34.97	5.98	0.31	31.64	2.57	0.42	12.19	12.9	9.23	49.49				3.35	0.42	0.02	3.36		0.38	64.35		60.96	1.88	0.16	0.56		78.13	7.26	5.04	21.6	4.13	9.99	1.37	2.11	11.6	4.86	24.87	29.67	19.24	65.5	7.41	8.9	8.3	0.36	22.97	20.98	6.46	2.8	50	10.16	8	2.1		14.59	0.19	53.84	43.04	31.85	0.56	0.38	7.01	39.93	1.46	0.54	4.72	2.44	79.13	65.1	3.4	0.06	9.3	19.07		1.2		2.99	25.97	6.49	12.33	0.43			0.46	3.15	29.48	64.82	0.68	61.7	15.94	1.91	3.9	7.5	3.78	0.6	0.98	6.39				54.53			19.71				27.43																			
		 Fixed broadband subscriptions (per 100 people)											0.05	4.76				0.68	0	1.44	2.59	7.38		3.47	1.26		10.09	0	11.97	0.36	0			0.06	0.04		0.53		1.09		0		0		14.29					2.2	0.86	0.15				0.36	0	0.08		1.01	0.34			13.34		3.78	0.17	0.05	0.08	0.33			6.74	0		9.42	5.9	0.01		0.03	5.33			0.09									18.36	2.61	14.34	0.01	0.03	0.03		1.04	9.97	3.89	0.34	11.79	0.1	0.01			0.61	0	0	0.85	1.9				4.39	1.98	3.43	6.16		0	0.44	0.17		5.52			0.1	0.4	0.01	19.82	0.02			0.01						12.32		2.06	0.08				8.74	0.01				0.46		0.01	0.35	0.07	0.51	4.81	0.45	23.99	0.02	0.88	0.24		4.19	0.87	1.06		2.09		0.2	0.02				9.8	0.42	2.91			0.04	5.05	0.02		0.04		12.25	10.75		0	0.02		0			0.02	0.07	0	0.3						0.9	5.22		9.47		0.01	0.01	0.45	0.01		0	0.05				0.21			1.44																							
	2002																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0.11	26.08	1.38	45.77	0.94		47.74	17.45	2.34	65.06	64.27	83.24	9.59	39.4	53.1	0.78	36.06	4.7	78.36	20.55	2.95	47.32	0	11.57	19.21	18.37	19.44		44.35	33	0.9	0.74	2.99	4.18	37.95	9.35	42.47	0.33	0.38	39.47	15.9	11.15	0	6.75		12.27	6.16	52.25	0.16	42.65	84.3	0	1.13	83.4	2.01	17.44	19.03	11.98	6.58	14.79	5.8	0	65.37	0.07	11.01	86.86	64.26	21.73	7.65	10.9	70.66	1.95		84.47	7.4	13.4	1	0	10.58	1.58		5.03	92.53	67.72	90.77	1.21	5.44	3.37	0.08	76.22	100.98	94.26	47.4	64.25	24.87	7.02	3.6	0.58	59.91	1.06	0.99	39.58	22.05	7.32	0.16	1.31	33.71	48.1	106.65	62.17	0.97	0.72	37.08	14.82	0.42	67.45	1.06	8.59	28.99	24.29	0.09	45.55	8.84			21.15	1.32	0.1	7.66		0.09	75.43		61.81	4.52	0.49	1.21		83.54	20.06	1.13	12.56	7.48	16.54	0.27	29.92	8.63	19	36.31	83.4	42.35	69.71	8.52	22.97	12.1	0.92	10.65	8.93	9.23	1.53	59.72	1.37	22.95	5.33		54.15	1.49	80.1	54.26	83.78	0.23	1.28	29.67	81.1	4.84	0.53	22.57	6.28	89.2	79.21	2.35	0.21	27.35	17.61		3.22		3.39	20.57	5.89	35.87	0.18		0	1.52	7.66	75.31	82.83	1.69	48.85	15.43	0.74	2.53	25.82	2.3	2.62	1.31	2.68				35.24			43.4				41.64																			
		 Fixed telephone subscriptions (per 100 people)									0.15	6.74	5.99	48.75	0.54		47.54	20.49	17.82	39.09	52.75	47.99	11.18	40.95	23.95	0.44	49.35	30.11	47.7	12.43	0.85	88.34	3.28	6.68	23.16	8.19	21.63		23.46	36.49	0.5	0.31	0.28	0.66	65.92	15.29	84.93	0.24	0.13	21.92	16.54	18.84	1.84	0.67		25.35	1.95	41.23	5.94	43.62	35.98	3.94	0.02	68.93	1.36	33.96	10.17	10.83	11.41	11.11	1.6	0.84	35.25	0.51	11.95	52.41	56.83	2.5	2.93	13.86	64.13	1.39		57.08	32.85	7.19	0.29	0.84	10.72	1.47		4.96	55.44	36.08	65.52	3.85	3.6	19.03	4.47	50.18	48.18	47.2	16.55	48.14	13.76	14.24	0.97	5.21	23.53	7.89	1.12	30.26	19.31	1.52	0.22	13.48	58.91	27.35	56.03	39.65	0.36	0.61	19.13	10.13	0.52	50.49	8.4	1.1	26.51	14.03	9.45	103.24	5.24			3.85	0.45	0.69	6.2		1.36	50.03		44.55	3.27	0.19	0.54		51.07	9.86	2.44	35.39	7.19	12.17	1.1	4.9	6.2	4.09	30.99	41.85	28.03	55.47	18.12	18.95	24.4	0.28	50.07	31.91	25.26	6.67	73.41	4.41	15.66	2.16		25.72	0.53	46.59	26.03	40.59	1.52	0.45	10.65	42.67	4.58	1.88	16.39	3.24	65.64	74.4	12.33	3.71	10.28	27		1		11.3	24.9	11.78	29.05	8.13		6.93	0.21	22.48	33.92	58.45	0.45	65.2	28.45	6.64	3.41	11.22	4.76	2.92	0.83	2.28				44.8			33.64				63.98																			
		 Internet users (per 100 people)									0	0.39	1.59	11.26	0.27		12.5	10.88	1.96	18.8		36.56	5	18	18.05	0.14	27.84	8.95	46.33	5.68	0.7	52.03	1.68	3.12	2.65	3.39	9.15		15.33	9.08	0.2	0.12	0.23	0.36	61.59	3.52		0.13	0.17	22.1	4.6	4.6	0.55	0.16		19.89	0.5	17.76	3.77	28.32	23.93	0	0.09	64.25	0.49	18.42	6.82	4.26	2.72	1.9	0.32	0.23	41.52	0.07	6.15	62.43	30.18	1.94	1.8	1.59	48.82	0.83		14.67	14.76	3.39	0.4	1.02		0.89		2.6	43.08	16.67	79.12	1.54	2.13	4.63	0.5	25.85	17.76	28.04	6.1	46.59	6.03	1.67	1.21	2.5	10.25	3	0.27	21.94	7	1.08	0.03	2.24	59.47	17.69	39.84	25.17	0.34	0.22	32.34	5.35	0.23	28.92	2.34	0.36	10.25	11.9	5.57	48.05	2.04			2.37	0.26	0	2.63		0.31	61.29		59.08	1.71	0.13	0.32		72.84	6.87	2.58	20.24	3.1	8.52	1.32	1.79	8.97	4.33	21.15	19.37	10.23	59.4	3.79	6.58	4.13	0.29	21.15	14.64	5.55	2.24	50.83	7.58	6.38	1.01		14.3	0.18	47	40.14	27.84	0.5	0.12	6.71	20.39	1.05	0.44	4.16	1.82	70.57	61.4	2.09	0.06	7.53	17.33	0	1		2.91	22	5.25	11.38	0.3			0.38	1.87	28.32	56.48	0.22	58.79	11.42	1.08	3.51	4.91	1.85	0.52	0.48	3.99				44.15			17.55				27.49																			
		 Fixed broadband subscriptions (per 100 people)												1.6				0.39	0		1.31	5.57	0.01	2.44	0.68			0	7.89		0			0.04	0.01		0.41		0.8		0		0		11.24					1.19	0.25	0.08				0.22				0.6	0.15			8.41	0	3.21		0.05	0.07				3.45			5.26	2.76			0.02	3.83				0.55								15.03	1.1	8.46	0.01	0.02	0.02		0.27	3.71	1.48	0.34	7.44	0.06				0.51	0		0.43	1				4.25	0.58	1.31	3.82			0.08	0.07		4.31			0.02	0.22		15.02	0			0.01						7.3		1.1	0.04				4.53	0				0.38		0.01	0.14	0.03	0.32	2.51	0.04	22.43	0.01	0.07	0.01		1.07		1				0.16	0.01				6.53	0.08	2.85			0.01	3.02	0		0.02		9.43	6.29								0.01	0.01	0	0.03						0.52	2.28		6.85				0.31	0		0	0.02							0.6																							
	2001																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	11.95	0.31	43.28	0.52		31.66	18.09	0.83	57.05	57.12	81.26	8.91	19.98	42.87	0.39	19.8	1.39	74.72	15.97	1.74	21.12	0	9	11.46	18.63	16.24		42.17	19.53	0.64	0.49	1.79	2.55	34.37	6.99	39.25	0.3	0.26	32.62	11.24	8.05	0	4.68		8.15	4.44	39.47	0.08	32.69	67.9	0	0.31	73.96	0.41	11.07	14.43	6.72	4.16	14.33	2.81	0	48	0.04	9.93	80.48	62.08	11.95	4.35	6.44	67.15	1.26		72.31	6.3	9.99	0.63	0	10.07	1.05		3.73	83.8	48.72	87.35	0.62	3.08	3.12	0	76.83	89.74	89.59	22.95	59.39	17.9	4	1.87	0.47	44.33	0.54	0.54	28.01	22.84	3.05	0.07	0.95	32.86	29.41	92.94	44.39	0.91	0.48	30.87	6.8	0.23	58.52	0.94	3.96	22.84	20.65	0	44.19	8.06			16.44	0.81	0.05	5.52		0.07	76.49		58.56	3.18	0.02	0.21		79.58	14.43	0.51		5.35	15.25	0.19	21.06	6.8	15.33	26.11	77.07	29.08	62.88	5.57	17.23	5.3	0.74	4.54	1.7	6.94	1.42	57.72	0	12.1	2.98		45.24	0.63	74.36	39.85	73.88	0.23	1.12	23.7	72.76	3.51	0.3	18.38	5.12	80.76	73.27	1.2	0.03	11.97	10.81		1.9		0.24	20.13	4.03	30.53	0.18		0	1.13	4.58	60.96	78.2	0.79	44.69	15.63	0.51	0.18	26.03	1.53	0.82	1.17	2.49				28.19			42.85				37.78																			
		 Fixed telephone subscriptions (per 100 people)									0.14	6.01	5.85	50.74	0.53		47.19	21.82	17.37	39.97	51.62	49.66	10.55	40.69	24.88	0.42	48.06	28.85	49.82	14.37	0.83	88.96	3.02	6.05	21.83	8.31	21.15		26.08	36.38	0.49	0.3	0.27	0.65	68.18	14.23	87.73	0.24	0.12	22.17	14	18.18	1.64	0.69		23.54	1.79	40.05	5.14	45.24	37.74	3.73	0.02	72.18	1.35	33.38	10.85	10.45	9.96	10.86	1.29	0.76	37.32	0.42	11.32	54.09	57.19	2.97	2.77	12.15	62.61	1.27		50.92	32.16	6.59	0.29	0.76	10.69	0.92		4.87	56.55	36.7	69.19	3.64	3.41	16.3	2.75	48.11	49.48	47.82	19.63	48.68	13.65	13.32	0.96	4.31	23.85	7.78	0.96	30.77	18.64	1.14	0.23	12.55	60.04	33.27	58.31	40.28	0.36	0.47	19.68	9.81	0.48	50.78	8.02	0.89	25.72	13.08	9.4	91.63	5.14			4.11	0.46	0.6	6.08		1.26	51.15		46.66	3.05	0.19	0.48		51.78	10.29	2.21		7.75	12.25	1.12	5.29	5.96	4.18	29.75	42.37	27.37	55.8	15.82	18.45	22.77	0.25	48.69	31.52	24.15	5.51	74.64	3.84	15.47	2.34		26.2	0.53	48.41	28.88	40.3	1.74	0.46	10.82	43.01	4.35	1.28	16.35	3.14	66.99	74.76	10.88	3.61	9.59	26.08		0.97		10.96	24.51	10.94	29.49	8.52		6.86	0.22	21.94	33.62	58.43	0.51	66.63	28.58	6.63	3.57	10.88	3.73	2.34	0.83	2.02				42.99			33.91				63.96																			
		 Internet users (per 100 people)									0	0.33	0.65		0.14		8.9	9.78	1.63	17.1	52.69	39.19	0.31	11.8	15.04	0.13	11.94	4.3	31.29		0.36	47.51	0.86	2.12	1.2	3.43	4.53		12.92	7.61	0.16	0.11	0.08	0.28	60.2	2.69		0.08	0.05	19.1	2.64	2.85	0.44	0.03		9.56	0.4	11.56	1.08	18.82	14.7	0	0.01	42.96	0.34	13.25	4.43	2.67	0.84	1.5	0.17	0.16	31.53	0.04	1.86	43.11	26.33	1.35	1.34	0.99	31.65	0.2		10.94	5.13	1.74	0.18	0.3	13.21	0.34		1.42	38.67	14.53	49.39	0.66	2.02	1.48	0.1	23.14	17.38	27.22	3.86	38.53	4.71	1.01	0.62	2.34	8.55	3	0.18	7.22	6.78	0.26	0.03	0.37	45.12	7.18	36.16	22.52	0.22	0.16	26.7	3.62	0.19	17.88	1.71	0.26	8.78	7.04	4.66	46.65	1.65			1.37	0.16	0	2.42		0.24	49.37		53.24	1.45	0.11	0.09		64	5.89	1.32		1.84	7.27	0.9	1.1	7.58	2.52	9.9	18.09	6.17	56.6	1.49	4.54	2.94	0.24	7.71	8.18	5.09	1.69	50.34	6.31	4.68	0.98		11.02	0.16	41.67	12.53	30.18	0.47	0.08	6.35	18.15	0.79	0.14	3.06	1.28	51.77	55.1	0.35	0.05	5.56	3.47		0.9		2.83	15.38	4.3	5.19	0.18			0.24	1.24	26.27	33.48	0.17	49.08	11.12	0.6	2.83	4.64	1.27	0.09	0.23	0.8				35.46			15.63				18.38																			
		 Fixed broadband subscriptions (per 100 people)																0.25	0		0.63	3.98		1.37	0.17				4.47						0		0.19		0.56						9.15					0.43	0.03	0.03								0.26	0.06			4.44	0	0.25		0.02					1.29			2.58	1.01			0.01	2.51												10.39	0.31	3.67	0	0.01	0			0.72	0.68	0.12	3.04	0.01				0.25			0.14						0.07	0.28	2.23			0.02			2.24				0.05		8.21	0									2.92		0.44	0.03				1.96					0.25		0.01		0.01	0.03	0.96		16.92	0.01	0.03					0.08				0.07					3.75		0.28				1.14	0				6.6	1.94			0								0.02						0.27	0.56		4.45				0.15			0	0.01							0.06																							
	2000																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0.9	0.27	36	0.19		28.33	17.58	0.57	16.51	44.46	76.27	5.18	10.59	30.79	0.21	10.65	0.49	54.82	7.05	0.8	20.69	0	6.86	2.44	12.66	13.29		28.63	9.22	0.22	0.24	1.07	0.65	28.43	4.46	25.67	0.14	0.07	22.01	6.66	5.66	0	2.24		5.39	2.93	23.08	0.06	23.15	42.4	0	0.03	63.01	0.03	1.72	8.14	3.85	2.06	12.48	0.96	0	40.77	0.03	6.78	72.03	49.06	9.79	0.46	4.11	57.72	0.69		54	4.23	7.65	0.48	0	5.35	0.64		2.49	79.69	30.09	76.42	0.34	1.76	1.46	0	64.7	73.17	74.13	14.21	53.12	8.16	1.35	0.41	0.36	24.97	0.18	0.24	16.92	22.96	1.16	0.05	0.77	30.22	14.98	69.54	32.66	0.4	0.43	21.87	2.8	0.1	28.08	0.86	0.56	15.19	13.55	0	43.41	6.45			8.16	0.28	0.03	4.32		0.04	67.81		39.97	1.77	0.02	0.02		71.78	7.39	0.21		0.22	13.43	0.16	15.34	4.9	8.31	17.59	64.67	20.36	58.33	3.38	11.16	2.22	0.46	2.63	1.59	2.19	1.43	53.78	0	6.83	2.54		32.54	0.29	70.12	23.08	61.1	0.28	1.08	18.59	60.24	2.28	0.07	8.8	3.1	71.82	64.73	0.18	0.02	4.9	5.64		1.03		0.18	12.77	1.25	25.54	0.17		0	0.52	1.67	47.19	73.71	0.32	38.47	12.37	0.21	0.2	22.32	0.97	0.18	0.98	2.13				26.91			34.71				32.25																			
		 Fixed telephone subscriptions (per 100 people)									0.14	4.62	5.55	52.32	0.47		49.33	21.39	17.34	41.93	52.18	49.84	9.87	38.4	25.59	0.37	46.35	27.57	49.05	14.99	0.74	89.24	2.51	6.01	20.34	7.74	17.72		24.26	36.02	0.46	0.3	0.25	0.6	67.89	12.35	83.96	0.26	0.12	21.37	11.31	18.03	1.28	0.7		22.87	1.63	38.46	4.39	46.66	37.77	2.19	0.02	71.84	1.34	32.58	10.32	9.77	8.29	10.49	1.18	0.78	38.27	0.35	10.65	55.03	57.4	3.18	2.71	10.72	60.13	1.13		51.51	30.86	6.04	0.28	0.87	9.19	0.85		4.79	57.43	37.15	69.82	3.11	3.19	14.39	2.84	48.16	49.45	47.65	19.11	49.28	13	12.58	0.93	4.05	24.5	7.59	0.76	30.98	17.8	1.2	0.23	11.69	60.65	33.95	57.07	40.94	0.35	0.41	19.76	8.96	0.38	50.11	7.67	0.7	23.7	11.87	8.98	93.42	4.9			4.96	0.47	0.56	5.8		1.15	62.35		47.46	3.22	0.18	0.45		53.46	10.12	2.12		8.49	14.05	1.21	5.29	6.6	3.94	28.54	41.93	26.98	56.25	14.21	17.42	21.85	0.21	48.11	31.16	23.08	4.88	75.28	3.31	14.72	2.09		25.85	0.46	49.67	31.51	39.48	1.86	0.34	11.06	42.46	4.07	1.13	16.14	2.99	68.26	73.07	10.23	3.53	8.97	24.72		0.88		9.9	24.98	10	29.12	8.1		7.01	0.25	21.23	33.71	59.76	0.51	67.64	27.98	6.67	3.59	10.39	3.14	1.98	0.82	1.99				46.61			34.22				62.93																			
		 Internet users (per 100 people)										0.11	0.49	10.54	0.11		6.48	7.04	1.3	15.44	46.76	33.73	0.15	8	6.15	0.07	3.97	1.86	29.43	5.96	0.23	42.95	0.4	1.44	1.08	2.9	2.87		9	5.37	0.08	0.08	0.05	0.25	51.3	1.82		0.05	0.04	16.6	1.78	2.21	0.27	0.03		5.8	0.23	6.64	0.54	15.26	9.78	0	0.01	39.17	0.19	8.81	3.7	1.46	0.64	1.18	0.13	0.14	28.58	0.02	1.5	37.25	14.31	1.22	0.92	0.48	30.22	0.15		9.14	4.06	0.71	0.1	0.23	6.61	0.23		1.2	27.83	7	44.47	0.53	0.93	0.93		17.85	20.87	23.11	3.12	29.99	2.62	0.67	0.32	1.79	6.73	1.04	0.11	6.32	7.95	0.21	0.02	0.19	36.52	6.43	22.89	13.61	0.2	0.13	21.38	2.2	0.14	13.11	1.53	0.19	7.28	5.08	3.73	42.18	1.26			0.69	0.11		1.64		0.2	43.98		47.38	0.98	0.04	0.06		52	3.52			1.11	6.55	0.84	0.75	3.08	1.98	7.29	16.43	4.86	44.7	1.28	3.61	1.98	0.06	5.86	5.09	3.25	0.57	48.8	4.64	2.21	0.4		7.4	0.12	36	9.43	15.11	0.48	0.02	5.35	13.62	0.65	0.03	2.51	0.93	45.69	47.1	0.18	0.05	3.69	2.49		0.8		2.43	7.72	2.75	3.76	0.13		5.24	0.16	0.72	23.63	26.82	0.12	43.08	10.54	0.48	2.11	3.36	0.25	0.08	0.19	0.4				31.75			10.47				13.82																			
		 Fixed broadband subscriptions (per 100 people)																				2.38							1.4						0		0.06								4.6					0.05	0	0.02									0.02			1.26	0	0.11										0.68	0.33				0.32												6.5	0.03	0.84		0	0				0.2		0.68								0.01								0.86						0.41				0.01		2.49										1.64		0.12	0.01				0.52							0	0			0.24		8.42																1.76						0.19					2.81	0.79																	0.07	0.09		2.48				0.02			0																															
	1999																																																																																																																																																																																																																																																							
